"Date","Time","PM10","Status","Unit"
"26-03-2020","08:00",47.344,"R","ugm-3 (Ref.eq)"
"26-03-2020","09:00",48.31,"R","ugm-3 (Ref.eq)"
"26-03-2020","10:00",43.479,"R","ugm-3 (Ref.eq)"
"26-03-2020","11:00",NA,"R","ugm-3 (Ref.eq)"
"26-03-2020","12:00",NA,"R","ugm-3 (Ref.eq)"
"26-03-2020","13:00",28.02,"R","ugm-3 (Ref.eq)"
"26-03-2020","14:00",32.851,"R","ugm-3 (Ref.eq)"
"26-03-2020","15:00",26.087,"R","ugm-3 (Ref.eq)"
"26-03-2020","16:00",31.885,"R","ugm-3 (Ref.eq)"
"26-03-2020","17:00",28.02,"R","ugm-3 (Ref.eq)"
"26-03-2020","18:00",28.986,"R","ugm-3 (Ref.eq)"
"26-03-2020","19:00",28.986,"R","ugm-3 (Ref.eq)"
"26-03-2020","20:00",31.885,"R","ugm-3 (Ref.eq)"
"26-03-2020","21:00",29.952,"R","ugm-3 (Ref.eq)"
"26-03-2020","22:00",29.952,"R","ugm-3 (Ref.eq)"
"26-03-2020","23:00",35.749,"R","ugm-3 (Ref.eq)"
"26-03-2020","24:00",40.58,"R","ugm-3 (Ref.eq)"
"29-06-2020","01:00",18.358,"R","ugm-3 (Ref.eq)"
"29-06-2020","02:00",12.561,"R","ugm-3 (Ref.eq)"
"29-06-2020","03:00",20.29,"R","ugm-3 (Ref.eq)"
"29-06-2020","04:00",18.358,"R","ugm-3 (Ref.eq)"
"29-06-2020","05:00",14.493,"R","ugm-3 (Ref.eq)"
"29-06-2020","06:00",17.392,"R","ugm-3 (Ref.eq)"
"29-06-2020","07:00",16.425,"R","ugm-3 (Ref.eq)"
"29-06-2020","08:00",23.189,"R","ugm-3 (Ref.eq)"
"29-06-2020","09:00",18.358,"R","ugm-3 (Ref.eq)"
"29-06-2020","10:00",20.29,"R","ugm-3 (Ref.eq)"
"29-06-2020","11:00",22.223,"R","ugm-3 (Ref.eq)"
"29-06-2020","12:00",26.087,"R","ugm-3 (Ref.eq)"
"29-06-2020","13:00",23.189,"R","ugm-3 (Ref.eq)"
"29-06-2020","14:00",26.087,"R","ugm-3 (Ref.eq)"
"29-06-2020","15:00",24.155,"R","ugm-3 (Ref.eq)"
"29-06-2020","16:00",19.324,"R","ugm-3 (Ref.eq)"
"29-06-2020","17:00",23.189,"R","ugm-3 (Ref.eq)"
"29-06-2020","18:00",23.189,"R","ugm-3 (Ref.eq)"
"29-06-2020","19:00",25.121,"R","ugm-3 (Ref.eq)"
"29-06-2020","20:00",20.29,"R","ugm-3 (Ref.eq)"
"29-06-2020","21:00",26.087,"R","ugm-3 (Ref.eq)"
"29-06-2020","22:00",13.527,"R","ugm-3 (Ref.eq)"
